ENST00000487695.6	PLCL1
ENST00000639562.1	GNAS
ENST00000532464.5	FUT6
ENST00000449162.1	AEBP1
ENST00000294189.10	RPL29
ENST00000557443.5	PRMT5
ENST00000450179.1	TMEM254
ENST00000618333.4	PRPF31
ENST00000557085.1	PSMC6
ENST00000568887.5	BAIAP3
ENST00000486480.1	PTPRN
ENST00000416764.5	NMRAL2P
ENST00000639250.1	PIGT
ENST00000559573.3	FAM227B
ENST00000555559.5	FUT8
ENST00000547480.5	DCTN2
ENST00000507139.5	CXXC5
ENST00000565926.1	MLST8
ENST00000523570.5	FYN
ENST00000613824.1	KIR2DL4
ENST00000390183.1	MIR671
ENST00000449477.1	NDUFB1P2
ENST00000548592.1	ABHD16A
ENST00000474239.1	FBXO6
ENST00000564366.1	DUX4
ENST00000392909.7	PARPBP
ENST00000638396.1	MIR622
ENST00000420510.5	RALB
ENST00000415822.6	MFSD1
ENST00000510822.1	MXD4
ENST00000360090.3	LCE1B
ENST00000427682.5	RPL10
ENST00000562106.5	CTRB2
ENST00000631081.2	MUC4
ENST00000464076.3	RAB3A
ENST00000479446.5	ABCA2
ENST00000628119.2	SLC2A11
ENST00000251363.9	CERS4
ENST00000525892.1	OR10D4P
ENST00000512754.1	LINC01085
ENST00000532234.5	PRSS23
ENST00000513858.5	SEC31A
ENST00000340537.9	FAM86B1
ENST00000602195.5	NXF2B
ENST00000410856.1	RNU2-38P
ENST00000332271.9	PIWIL3
ENST00000569980.1	COQ9
ENST00000372383.8	TSC22D3
ENST00000596049.5	PIH1D1
ENST00000521509.5	COPS5
ENST00000635251.1	PSPC1
ENST00000453543.5	CCDC117
ENST00000509433.1	ANKRA2
ENST00000256997.7	ACP2
ENST00000532045.5	CD151
ENST00000491081.5	GBA
ENST00000510013.1	PCBD2
ENST00000511436.5	STARD4
ENST00000512445.5	SRPK1
ENST00000566659.1	PDPK1
ENST00000253692.11	TBC1D5
ENST00000262158.6	SMAD7
ENST00000626761.2	ARHGAP27
ENST00000493361.5	CBLL1
ENST00000595240.5	IRF3
ENST00000284486.8	FAM167A
ENST00000528351.1	SLC25A1P1
ENST00000336273.7	MTDH
ENST00000442313.5	POU2F1
ENST00000561505.2	CLN3
ENST00000585847.5	VMP1
ENST00000551391.1	SCAF11
ENST00000625770.2	TRAPPC2L
ENST00000576050.5	DNASE1
ENST00000566279.5	TCF4
ENST00000476953.6	PHF11
ENST00000423780.1	POLR1C
ENST00000464878.5	NCF1
ENST00000571940.1	METRNL
ENST00000616559.4	PTPRQ
ENST00000523655.1	SREK1
ENST00000440620.1	KRTAP8-2P
ENST00000551607.5	CYP4F12
ENST00000430286.5	NRM
ENST00000562984.5	KIFC3
ENST00000517430.5	SH2D5
ENST00000459713.1	COA1
ENST00000277508.9	PAEP
ENST00000606455.5	MEIS1
ENST00000476198.2	CLEC2D
ENST00000616248.4	FCAR
ENST00000635393.1	ZNF436-AS1
ENST00000529458.5	PCSK7
ENST00000541984.5	UEVLD
ENST00000614965.4	LILRB2
ENST00000465903.5	SMC4
ENST00000360004.5	HLA-DRB1
ENST00000359107.9	MTHFD2L
ENST00000640363.1	FLII
ENST00000528488.5	C11orf49
ENST00000557990.1	MAN2A2
ENST00000483319.1	STK11IP
ENST00000503802.5	DMXL1
ENST00000412726.5	DCC
ENST00000583395.1	ASIC2
ENST00000441861.5	LMCD1-AS1
ENST00000441310.6	PMS1
ENST00000630310.2	LINC00969
ENST00000414678.7	ARID1B
ENST00000358777.8	CEACAM19
ENST00000518786.1	C8orf59
ENST00000510556.1	OSTC
ENST00000345068.9	CORO6
ENST00000458198.2	CDKN2AIPNL
ENST00000515873.5	CENPK
ENST00000417530.5	PRKACB
ENST00000504069.6	TMCO6
ENST00000636299.1	ASAH1
ENST00000581721.5	GOSR1
ENST00000459941.1	SETD5
ENST00000436274.5	BANP
ENST00000344576.6	EGFR
ENST00000586305.5	RASGRP4
ENST00000514905.5	ZBED3-AS1
ENST00000577724.1	PSMD12
ENST00000569689.1	KCTD5
ENST00000421723.1	NCEH1
ENST00000463376.6	BTBD6
ENST00000549992.5	NUDT4
ENST00000469998.1	PNPLA7
ENST00000611532.4	IL33
ENST00000518139.5	RPS14
ENST00000588108.5	MIR7515HG
ENST00000562993.5	RSL24D1
ENST00000541308.5	DAG1
ENST00000587196.2	U2AF2
ENST00000515621.5	NR1I3
ENST00000539002.5	NDUFC1
ENST00000485570.1	ABLIM1
ENST00000489994.5	IFRD1
ENST00000466539.1	PSME4
ENST00000458304.2	SPARCL1
ENST00000234371.9	KISS1R
ENST00000586855.6	ZSCAN5B
ENST00000370341.3	LINC00029
ENST00000530604.1	RSF1
ENST00000635632.1	CTIF
ENST00000637779.1	CACNB4
ENST00000578752.1	RN7SL199P
ENST00000544570.5	PDE2A
ENST00000258530.7	APPL2
ENST00000419942.1	OR2J1
ENST00000552537.1	KRT85
ENST00000620552.4	AGRN
ENST00000612636.4	LILRB1
ENST00000487632.5	NPRL2
ENST00000594108.1	MZF1
ENST00000265616.9	UBXN8
ENST00000220420.9	TGM5
ENST00000480186.7	CA6
ENST00000438347.1	CCND3P1
ENST00000251566.8	UGT2A3
ENST00000430983.5	AMZ2P1
ENST00000383108.6	BRD2
ENST00000374548.5	EDA
ENST00000444080.1	HLA-W
ENST00000473349.1	BRD3
ENST00000494733.5	TLN2
ENST00000409242.5	EXD2
ENST00000404991.1	PAPOLB
ENST00000466335.1	HACD1
ENST00000455313.6	PDXDC1
ENST00000618246.1	RN7SL565P
ENST00000349556.4	FGFR1OP
ENST00000612204.4	SCRIB
ENST00000504495.6	RIMKLB
ENST00000540857.5	HRASLS5
ENST00000472372.5	DHRS12
ENST00000519215.1	LINC02155
ENST00000488213.5	POLR2H
ENST00000513249.1	ZBTB38
ENST00000511625.5	MYOT
ENST00000462676.2	KCNAB2
ENST00000226578.8	MANBA
ENST00000374541.3	PTPN3
ENST00000476502.1	TRBV1
ENST00000225538.3	P2RX1
ENST00000359130.1	PIGK
ENST00000562097.5	SAXO2
ENST00000489877.5	C1orf61
ENST00000316512.2	VN1R76P
ENST00000446776.1	OR2W1
ENST00000426290.1	FRS3
ENST00000498832.1	LINC02005
ENST00000471270.5	GUK1
ENST00000590545.5	TJP3
ENST00000452983.5	ETNK2
ENST00000449656.1	C1QTNF9-AS1
ENST00000539724.1	CORO1B
ENST00000522758.1	GABRB2
ENST00000400275.2	PSMA6P1
ENST00000530013.5	FBXO3
ENST00000539761.5	CCDC92
ENST00000374690.8	AR
ENST00000374928.7	KLF8
ENST00000546442.5	FGD4
ENST00000428186.1	UBQLN1P1
ENST00000375173.1	TSTD2
ENST00000576439.1	DVL2
ENST00000639306.1	KCNA1
ENST00000360957.9	PPP1R13L
ENST00000567147.5	RNPS1
ENST00000511199.1	SORCS2
ENST00000476465.5	RAB43
ENST00000585590.1	GNAL
ENST00000482700.3	RN7SL413P
ENST00000433968.5	LMBR1
ENST00000590337.5	TPGS2
ENST00000261835.7	CYP46A1
ENST00000361400.8	ST3GAL3
ENST00000533089.5	TGFBR3
ENST00000359303.3	HIST1H3J
ENST00000486797.1	GBA2
ENST00000546439.1	OR7K1P
ENST00000417128.5	SLMAP
ENST00000429585.5	ATP6AP1
ENST00000459757.6	ZNF181
ENST00000542080.5	C12orf4
ENST00000592984.6	HSPB6
ENST00000451551.6	SCN5A
ENST00000377470.7	SPATC1
ENST00000527667.5	C11orf49
ENST00000586329.5	EPS8L1
ENST00000512587.1	TROVE2
ENST00000415165.6	ALB
ENST00000354273.4	ACSL5
ENST00000486892.5	GPLD1
ENST00000639270.1	MGAT4B
ENST00000613264.4	ST3GAL6
ENST00000562391.5	RBFADN
ENST00000529877.1	AIFM1
ENST00000396559.5	ATF7IP2
ENST00000533294.1	FEZ1
ENST00000378927.7	NUDT5
ENST00000616989.1	NT5M
ENST00000621207.1	KIR2DS1
ENST00000510507.2	CDC42P4
ENST00000525918.1	VPS26B
ENST00000380338.8	MLLT3
ENST00000524189.5	KIF13B
ENST00000532286.1	C14orf105
ENST00000478836.6	TTC26
ENST00000408689.1	MIR548H4
ENST00000380188.2	FAM217A
ENST00000513661.5	GRPEL2
ENST00000583938.5	CNDP2
ENST00000489086.1	ECI2
ENST00000447542.5	TRIM39
ENST00000631602.1	GSDMD
ENST00000509608.1	DROSHA
ENST00000484007.1	WDR63
ENST00000630360.1	PAUPAR
ENST00000604567.5	SETD1B
ENST00000287490.4	COX6A2
ENST00000593503.5	FBL
ENST00000512296.5	ARNT
ENST00000504299.5	LNX1
ENST00000636265.1	ADSL
ENST00000461799.1	IL20RA
ENST00000535838.5	NUMA1
ENST00000424385.5	KYNU
ENST00000381722.1	GAGE12H
ENST00000630537.2	ADAMTS12
ENST00000567573.5	C15orf41
ENST00000439425.6	TAP2
ENST00000506642.5	CPLX2
ENST00000585107.1	MIR4653
ENST00000503726.2	BAX
ENST00000481907.1	GPR156
ENST00000524092.1	TOP1MT
ENST00000361763.8	CD3E
ENST00000471737.1	MTCH1
ENST00000462465.1	MARCH5
ENST00000544564.5	IST1
ENST00000470622.1	IPCEF1
ENST00000371891.7	CYP4A22
ENST00000550651.5	RACGAP1
ENST00000522994.1	DOCK2
ENST00000470276.5	RPS18
ENST00000559979.5	ANKRD34C-AS1
ENST00000589775.6	LGALS3BP
ENST00000462091.5	UMPS
ENST00000600927.1	ZNF548
ENST00000511155.1	XPC
ENST00000503642.1	LYRM9
ENST00000559415.1	PIGH
ENST00000484665.2	MUC19
ENST00000481136.1	PDCD10
ENST00000509936.5	ACAD10
ENST00000463919.1	ALKAL2
ENST00000458728.5	METTL6
ENST00000472258.1	NKTR
ENST00000506055.5	PPARGC1A
ENST00000392695.6	TTC21B
ENST00000484225.1	PRR3
ENST00000619215.2	CDHR5
ENST00000344780.4	SNX21
ENST00000538162.3	PNMA6B
ENST00000449097.1	PAGE2
ENST00000629195.2	PLAGL1
ENST00000461964.1	GTF2H4
ENST00000361933.7	CD300A
ENST00000425038.1	HSFY1P1
ENST00000566772.1	KARS
ENST00000477565.3	BORCS8
ENST00000484767.5	SND1
ENST00000523720.1	R3HCC1
ENST00000597207.1	C19orf45
ENST00000515280.5	FAM135A
ENST00000563872.5	STARD9
ENST00000570482.2	CEP131
ENST00000392627.5	GPRC5C
ENST00000631116.1	LINC00969
ENST00000511109.1	GAB1
ENST00000216180.7	PNPLA3
ENST00000605932.5	OXNAD1
ENST00000430142.5	TOP3B
ENST00000476264.6	IFT172
ENST00000357512.3	ZNF92
ENST00000413387.5	CRTAC1
ENST00000482949.5	LCK
ENST00000374169.7	POLE3
ENST00000547860.1	ELK3
ENST00000443019.6_PAR_Y	PLCXD1
ENST00000367334.9	TMEM9
ENST00000467764.1	JAK1
ENST00000579186.1	SH3GL1P1
ENST00000392623.5	S100A13
ENST00000479100.1	COL16A1
ENST00000566696.1	TOX3
ENST00000495989.1	LY6G6D
ENST00000512558.5	ZFYVE16
ENST00000347343.6	AURKA
ENST00000573203.5	NDE1
ENST00000633252.1	PIWIL1
ENST00000462422.5	SMYD3
ENST00000529486.5	SIGIRR
ENST00000520545.5	NIPAL2
ENST00000581482.5	HEXDC
ENST00000461386.5	CEP250
ENST00000381625.9	PPP2R3B
ENST00000518695.2	TERF1
ENST00000479483.1	CHIT1
ENST00000566774.1	ESRP2
ENST00000426709.5	LINC01363
ENST00000427581.6	LILRB1
ENST00000418308.5	PCBP1-AS1
ENST00000402583.5	CBX1
ENST00000632534.1	LINC02124
ENST00000341189.8	ARMCX3
ENST00000342947.7	DFNA5
ENST00000590790.5	MGRN1
ENST00000330022.11	SETD2
ENST00000354574.8	GIT2
ENST00000538422.2	LRCH2
ENST00000453073.1	HNRNPA1P47
ENST00000535818.1	VPS37C
ENST00000365233.1	RNU4-12P
ENST00000384955.2	MIR548D2
ENST00000389735.7	HMCES
ENST00000557369.1	HECTD1
ENST00000498462.1	RPL3
ENST00000547706.1	RPAP3
ENST00000468274.1	BAG1
ENST00000489706.5	MYBPHL
ENST00000455656.1	TMEM56
ENST00000513533.1	HOXC-AS2
ENST00000369798.6	TTK
ENST00000538375.5	COPS7A
ENST00000527629.5	FAM111A
