target_id	length	eff_length	est_counts	tpm
ENST00000473358.1	712	578.499	13.8323	1.80247
ENST00000469289.1	535	341.689	7.17452	1.58284
ENST00000417324.1	1187	891.822	0	0
ENST00000461467.1	590	292.837	155.164	39.9428
ENST00000466430.5	2748	2767.37	240.02	6.53814
ENST00000477740.5	491	208.346	1.03396	0.374103
ENST00000471248.1	629	324.741	0	0
ENST00000610542.1	723	426.744	0	0
ENST00000453576.2	336	56.0393	0	0
ENST00000495576.1	1319	1126.77	0	0
ENST00000493797.1	323	44.0227	31.1335	53.312
ENST00000484859.1	4860	4665.48	1339.94	21.6502
ENST00000490997.5	518	235.082	0	0
ENST00000466557.6	1301	1157.4	445.354	29.0066
ENST00000491962.1	278	23.7858	338.128	1071.61
ENST00000496488.1	457	174.478	0	0
ENST00000442116.1	1292	661.574	1874.23	213.559
ENST00000448958.1	1925	1759.78	12.9861	0.556284
ENST00000634344.1	1219	1056.46	185.752	13.2542
ENST00000424587.6	2257	2292.61	94.5672	3.10946
ENST00000335577.4	510	227.196	173.997	57.7316
ENST00000441866.1	676	412.154	2.29599	0.419937
ENST00000450983.1	607	323.166	0	0
ENST00000412666.1	426	143.758	0	0
ENST00000635159.1	994	698.822	0	0
ENST00000431321.1	406	124.227	0	0
ENST00000453935.1	498	215.261	128.597	45.0339
ENST00000440163.1	462	305.767	2.79641	0.689422
ENST00000455207.5	413	130.96	0	0
ENST00000455464.6	735	441.971	0	0
ENST00000613471.1	723	430.478	0	0
ENST00000601814.5	635	341.639	9.55328	2.10795
ENST00000431812.1	336	56.0393	0	0
ENST00000419160.3	607	304.771	133.994	33.1427
ENST00000440038.6	746	437.299	57.7469	9.95461
ENST00000423728.5	573	427.445	23.9376	4.22157
ENST00000599771.6	457	174.478	616.064	266.171
ENST00000601486.5	696	490.465	11.3656	1.74686
ENST00000616947.2	603	396.683	153.376	29.1466
ENST00000616311.4	372	91.4899	0	0
ENST00000432964.1	575	416.499	0	0
ENST00000608420.1	438	155.624	105.053	50.8866
ENST00000417636.1	842	547.248	0	0
ENST00000634833.1	1004	745.792	7.23382	0.73118
ENST00000635509.1	940	644.955	0	0
ENST00000634337.1	890	595.193	0	0
ENST00000440196.2	439	156.624	0	0
ENST00000357876.5	498	215.261	128.597	45.0339
ENST00000440200.5	413	130.96	0	0
ENST00000452176.1	802	507.297	0	0
ENST00000441245.5	629	358.661	0	0
ENST00000419394.1	480	197.406	0	0
ENST00000414688.5	750	350.618	6.29445	1.35331
ENST00000616585.1	723	428.276	12.8512	2.262
ENST00000447954.1	336	56.0393	0	0
ENST00000423796.1	607	323.166	0	0
ENST00000450696.1	402	120.337	0	0
ENST00000422528.1	456	173.512	0	0
ENST00000434264.6	844	503.688	77.5199	11.6018
ENST00000457084.1	566	293.77	940.133	241.244
ENST00000589899.5	809	437.582	345.238	59.475
ENST00000609830.1	669	321.714	0	0
ENST00000429505.5	441	158.624	7.74177	3.67912
ENST00000585826.1	390	108.937	0	0
ENST00000592547.1	608	324.166	14.0658	3.27093
ENST00000586928.5	598	324.547	92.166	21.4075
ENST00000585745.5	168	65.6266	0	0
ENST00000585768.5	394	112.804	68.6205	45.8566
ENST00000590848.5	726	473.623	19.2878	3.0699
ENST00000591440.5	780	502.682	18.9917	2.84803
ENST00000587530.5	1024	720.385	13.2361	1.38506
ENST00000593022.5	693	510.719	5.48811	0.810055
ENST00000589531.5	714	446.727	0	0
ENST00000588951.5	607	332.273	1.52504	0.345988
ENST00000586288.1	1040	810.383	12.5587	1.16823
ENST00000591702.1	1873	1396.1	603.269	32.5739
ENST00000443772.1	417	134.882	12.2183	6.82862
ENST00000412115.1	581	297.57	13.3199	3.3743
ENST00000326734.2	1947	1651.82	0	0
ENST00000624927.3	677	385.169	0	0
ENST00000623808.3	493	210.346	0	0
ENST00000445118.6	6606	7517.56	1587.08	15.9146
ENST00000448975.6	633	438.129	26.2422	4.51516
ENST00000610067.5	550	266.737	5.15986	1.45824
ENST00000608189.4	824	600.604	17.3964	2.18345
ENST00000441765.5	750	620.547	17.3556	2.10833
ENST00000609139.5	455	172.512	20.418	8.92208
ENST00000449005.5	874	543.819	668.55	92.6732
ENST00000416570.5	612	327.876	0	0
ENST00000623070.3	494	211.346	0	0
ENST00000609009.5	767	501.737	54.5088	8.18963
ENST00000622921.1	724	473.921	33.8543	5.38496
ENST00000415295.1	894	764.574	83.2718	8.21018
ENST00000425657.1	845	589.18	23.251	2.97487
ENST00000473798.1	1317	1527.78	311.31	15.3605
ENST00000446136.1	1807	1541.43	115.731	5.65976
ENST00000432963.1	504	221.196	16.9587	5.77948
ENST00000427857.1	446	163.529	172.263	79.4096
ENST00000607769.1	351	70.7414	0	0
ENST00000448179.1	3043	4088.49	63.4085	1.16912
ENST00000398216.2	443	160.561	30.6544	14.3922
ENST00000609207.1	4152	3856.82	0	0
ENST00000417705.1	1389	1093.82	0	0
ENST00000432961.1	630	344.572	0	0
ENST00000606034.1	2086	3519.58	9	0.192764
ENST00000458555.1	471	188.406	60	24.0066
ENST00000418300.1	402	120.337	2130	1334.31
ENST00000442292.2	829	1074.99	121	8.4851
ENST00000416774.1	1620	1324.82	0	0
ENST00000606993.1	987	691.889	0	0
ENST00000379317.1	3532	4948.42	153.385	2.33662
ENST00000565563.1	1558	2214.54	97.3899	3.31516
ENST00000434139.1	268	33.026	33.1154	75.587
ENST00000453732.1	389	107.981	5	3.49058
ENST00000444968.1	386	105.045	78	55.9751
ENST00000448629.5	797	664.749	469.845	53.2808
ENST00000444362.2	1747	2548.53	764.771	22.6212
ENST00000418833.2	2196	3463.72	151.262	3.29201
ENST00000576232.1	585	301.541	0	0
ENST00000570344.1	515	415.197	4.17089	0.757266
ENST00000447725.2	1843	2486.23	4.28585e-05	1.29948e-06
ENST00000572242.1	2228	3422.09	464.951	10.2421
ENST00000453521.1	858	928.773	0	0
ENST00000607307.1	1523	1362.54	1336.2	73.926
ENST00000428932.1	543	498.998	1	0.151069
ENST00000430109.1	510	382.126	4	0.789092
ENST00000434150.1	444	161.561	2	0.933184
ENST00000454562.1	424	141.758	0	0
ENST00000417917.1	634	347.789	0	0
ENST00000366221.3	2101	2408.51	181.949	5.69476
ENST00000607222.1	2038	2825.41	922.685	24.6177
ENST00000607013.1	400	118.491	33	20.9943
ENST00000596308.1	1422	1629.88	6773.62	313.284
ENST00000598846.1	5079	6534.77	6577.02	75.8704
ENST00000412228.1	906	980.072	16	1.23065
ENST00000443930.1	1954	2065.07	100.783	3.67897
ENST00000445600.1	320	41.4955	0	0
ENST00000449154.1	437	154.624	0	0
ENST00000606533.1	4196	5495.76	356.433	4.88904
ENST00000333854.2	1253	957.822	0	0
ENST00000444529.1	622	337.314	0	0
ENST00000442483.2	326	46.65	0	0
ENST00000607720.1	493	210.346	0	0
ENST00000607858.1	568	284.627	45.5796	12.0717
ENST00000424657.1	455	172.512	0	0
ENST00000442305.1	514	231.151	0	0
ENST00000606645.1	996	1802.93	121	5.05919
ENST00000449660.5	1629	1775.89	129.277	5.48756
ENST00000443892.2	500	217.24	90.4	31.3692
ENST00000416860.2	3522	5998.93	526.932	6.62147
ENST00000448624.2	808	616.58	107.019	13.0841
ENST00000432521.2	3608	5907.5	249.428	3.18285
ENST00000452793.1	569	537.863	42.0021	5.88672
ENST00000456687.3	1297	2092.99	5.11057	0.184067
ENST00000424215.1	626	326.602	525	121.176
ENST00000427302.1	373	92.4714	0	0
ENST00000457440.1	607	323.166	0	0
ENST00000429389.1	429	146.73	0	0
ENST00000606861.1	2917	2621.82	0	0
ENST00000321399.7	2226	1930.82	0	0
ENST00000413472.5	561	277.683	0	0
ENST00000453118.5	1697	1401.82	0	0
ENST00000445317.1	4247	3951.82	0	0
ENST00000415573.1	280	23.3248	0	0
ENST00000420957.1	435	152.655	0	0
ENST00000321336.1	664	373.086	0	0
ENST00000440516.1	469	186.406	0	0
ENST00000624175.1	2677	3919.07	25.8255	0.496751
ENST00000607061.1	3461	3165.82	0	0
ENST00000606489.1	382	101.179	0	0
ENST00000435049.1	622	488.035	8	1.2357
ENST00000443034.1	754	440.447	114	19.5113
ENST00000416554.1	351	70.7414	0	0
ENST00000624167.1	988	850.193	13.6093	1.20668
ENST00000418088.5	3329	4475.1	2.82686	0.0476185
ENST00000452079.5	6358	9411.53	996.499	7.98161
ENST00000419973.1	657	675.05	17.112	1.91091
ENST00000423764.5	2875	3924.59	1903.57	36.5636
ENST00000587071.5	737	546.824	50.5151	6.96382
ENST00000608600.1	597	388.278	12.2097	2.37048
ENST00000624948.1	714	448.568	20.1168	3.38069
ENST00000607459.1	531	247.889	2	0.6082
ENST00000413332.5	634	568.12	19.3927	2.5732
ENST00000442673.1	3059	4295.23	30.7691	0.540011
ENST00000439488.1	1940	2301.48	130.587	4.27727
ENST00000635619.1	559	275.71	0	0
ENST00000456897.5	561	277.683	0	0
ENST00000412674.1	3242	2946.82	0	0
ENST00000635247.1	1646	1350.82	0	0
ENST00000635127.1	1402	1106.82	0	0
ENST00000425194.1	937	641.955	0	0
ENST00000635002.1	1392	1096.82	0	0
ENST00000423197.2	2077	1781.82	0	0
ENST00000635312.1	1427	1131.82	0	0
ENST00000633821.1	579	284.678	4	1.0592
ENST00000635642.1	1347	1051.82	0	0
ENST00000438791.2	356	75.6971	0	0
ENST00000634256.1	1107	811.822	0	0
ENST00000635556.1	914	619.016	0	0
ENST00000420522.1	682	389.906	0	0
ENST00000443270.1	449	166.512	83.2976	37.7103
ENST00000564261.1	1697	1401.82	0	0
ENST00000413887.1	363	82.6489	0	0
ENST00000455744.1	378	97.3186	64	49.5745
ENST00000441724.1	1138	1020.36	331.398	24.4834
ENST00000429480.2	1302	1181.46	15.9476	1.01754
ENST00000607670.1	837	799.747	11	1.03685
ENST00000419034.1	351	70.7414	131.089	139.691
ENST00000432429.5	1686	1606.5	112.564	5.28192
ENST00000414210.5	507	224.196	0	0
ENST00000635029.1	545	261.764	19.6708	5.66483
ENST00000635092.1	633	346.994	0	0
ENST00000421469.2	547	263.737	0	0
ENST00000442889.1	415	132.895	18	10.2103
ENST00000456701.1	349	68.7484	0	0
ENST00000427317.1	365	84.6235	0	0
ENST00000618051.1	433	150.685	0	0
ENST00000411708.1	391	109.882	0	0
ENST00000440032.1	361	80.6653	0	0
ENST00000602640.1	1721	1799.38	12.8196	0.537063
ENST00000602973.1	570	405.577	18	3.34559
ENST00000602916.1	267	34.6736	0	0
ENST00000602406.1	393	111.838	45	30.3317
ENST00000451646.1	830	535.248	0	0
ENST00000445300.1	2044	2535.95	28.1894	0.83795
ENST00000635451.1	896	601.135	0	0
ENST00000452982.1	497	214.283	0	0
ENST00000424689.1	477	313.453	6.24028	1.50074
ENST00000449895.5	516	233.128	10.4611	3.38265
ENST00000444276.1	439	156.624	1.53888	0.740663
ENST00000433876.2	353	72.7198	3	3.10987
ENST00000414948.1	744	553.013	321.481	43.8222
ENST00000442636.1	456	173.512	23	9.99244
ENST00000635687.1	4211	4772.17	5335.21	84.2771
ENST00000635405.1	529	305.027	8.40912	2.07819
ENST00000437157.3	409	127.127	0	0
ENST00000635271.1	888	864.677	31.6251	2.7571
ENST00000412639.2	985	812.392	106.116	9.84666
ENST00000634966.1	652	417.557	17.259	3.11583
ENST00000632503.1	1764	1468.82	0	0
ENST00000441033.1	708	415.601	0	0
ENST00000377320.3	1823	1923.46	473	18.5375
ENST00000415330.2	939	684.405	323	35.5765
ENST00000454104.1	424	141.758	0	0
ENST00000445884.1	440	157.624	58.8825	28.1603
ENST00000413148.1	436	153.655	417.739	204.943
ENST00000607572.1	797	776.405	11	1.06802
ENST00000424487.1	467	184.406	299.299	122.35
ENST00000606802.1	7923	7627.82	0	0
ENST00000607145.1	870	529.361	376.054	53.5516
ENST00000612387.1	651	321.909	0	0
ENST00000452378.1	2682	2812.78	25	0.670004
ENST00000447600.1	487	204.366	28.3573	10.4599
ENST00000435388.1	440	157.624	11.6427	5.56807
ENST00000445982.5	705	412.601	0	0
ENST00000420480.1	673	381.428	0	0
ENST00000453135.1	1285	1260.18	111.463	6.66767
ENST00000376620.3	1868	2384.22	173.164	5.47501
ENST00000446542.5	1032	737.659	398.874	40.7618
ENST00000400892.2	936	684.407	61.1264	6.73268
ENST00000416696.1	438	155.624	0	0
ENST00000606790.1	345	64.8024	22	25.5921
ENST00000438401.1	378	97.3186	0	0
ENST00000437631.1	384	103.107	0	0
ENST00000432559.2	384	103.107	0	0
ENST00000563570.1	477	194.406	0	0
ENST00000441809.2	379	98.2891	64	49.085
ENST00000449215.1	282	22.9329	0	0
ENST00000447908.2	764	469.711	0	0
ENST00000310916.6	7100	8874.05	49.8971	0.423865
ENST00000404665.3	2780	2484.82	0	0
ENST00000424792.5	255	69.882	0	0
ENST00000625027.2	441	158.624	0	0
ENST00000428747.1	3105	3799.33	192.15	3.81248
ENST00000439788.1	727	434.311	0	0
ENST00000427824.1	5178	6238.73	544.553	6.57989
ENST00000606186.1	346	65.7892	0	0
ENST00000428945.1	2845	3471.72	160.928	3.4943
ENST00000606262.1	256	65.9126	0	0
ENST00000623689.3	684	391.869	0	0
ENST00000615472.1	755	460.934	0	0
ENST00000453804.1	645	420.326	3	0.538034
ENST00000418525.1	639	352.102	0	0
ENST00000317122.2	2473	4386.15	354.171	6.087
ENST00000437156.1	466	183.424	0	0
ENST00000424774.1	904	609.135	0	0
ENST00000426353.1	544	260.764	0	0
ENST00000457809.1	439	156.624	0	0
ENST00000457898.1	3245	3794.18	302.7	6.01407
ENST00000562878.1	1110	803.54	159.261	14.9409
ENST00000452795.2	327	47.549	0	0
ENST00000415386.2	1548	2080.58	11	0.39855
ENST00000614408.1	828	533.248	0	0
ENST00000607700.1	339	58.9636	0	0
ENST00000633763.1	817	583.316	311.792	40.2936
ENST00000624517.1	406	124.227	24.4474	14.835
ENST00000633433.1	819	583.813	14.7926	1.91005
ENST00000414340.6	554	270.737	0	0
ENST00000422345.1	735	335.402	2	0.449509
ENST00000414128.1	882	594.179	41	5.20165
ENST00000438002.1	2520	3935.71	2.30289	0.0441087
ENST00000619677.1	828	533.248	0	0
ENST00000451828.1	434	151.67	0	0
ENST00000453554.1	1546	2226.68	0.69711	0.0236003
ENST00000457856.1	475	192.406	0	0
ENST00000422124.1	406	124.227	0	0
ENST00000416869.1	336	56.0393	0	0
ENST00000457075.1	346	65.7892	0	0
ENST00000606899.1	438	155.624	5	2.42196
ENST00000446261.1	636	349.584	0	0
ENST00000412427.1	4676	6370.89	1	0.0118324
ENST00000634972.1	590	306.511	0	0
ENST00000635428.1	1228	932.822	0	0
ENST00000439577.1	311	34.5042	0	0
ENST00000430540.1	610	326.037	0	0
ENST00000569711.1	2471	2175.82	0	0
ENST00000624418.1	6473	6177.82	0	0
ENST00000419667.2	430	147.73	0	0
ENST00000420211.1	491	208.346	0	0
ENST00000606379.1	3402	4497.99	2189	36.6861
ENST00000437898.1	507	224.196	163	54.8066
ENST00000416470.1	207	87.7388	6	5.15506
ENST00000454736.1	447	164.529	0	0
ENST00000417884.1	1083	765.824	1784.87	175.692
ENST00000431027.1	2493	2269.52	1364.4	45.3191
ENST00000442226.1	510	227.196	20	6.63594
ENST00000435552.1	480	197.406	1	0.381868
ENST00000444923.1	229	94.2267	0	0
ENST00000426428.5	2993	3583.78	15.1678	0.319048
ENST00000635577.1	1026	802.277	47.1901	4.43405
ENST00000635564.1	1008	712.822	0	0
ENST00000418743.5	785	490.345	0	0
ENST00000423486.1	354	73.7198	0	0
ENST00000421114.1	376	95.3767	0	0
ENST00000451424.1	4443	5078.7	2675.08	39.7062
ENST00000436642.1	299	27.2656	0	0
ENST00000416959.1	723	423.013	4	0.71282
ENST00000449034.1	2479	3011.17	270	6.75931
ENST00000444647.1	607	323.166	0	0
ENST00000423921.1	605	321.198	0	0
ENST00000457706.1	821	526.248	0	0
ENST00000455966.2	702	476.277	20.7365	3.28209
ENST00000635097.1	1023	1020.51	20.6265	1.52364
ENST00000635675.1	1433	1270.78	451.008	26.754
ENST00000434233.1	809	563.893	64.773	8.65907
ENST00000634934.1	1520	1394.29	424.332	22.9418
ENST00000634712.1	788	511.529	0	0
ENST00000634451.1	554	292.504	134.334	34.6202
ENST00000635450.1	949	849.015	98.8455	8.77638
ENST00000420503.1	771	466.961	47.4222	7.65552
ENST00000416769.1	1054	838.519	449.104	40.3746
ENST00000452322.1	374	93.4433	0	0
ENST00000404210.4	465	182.424	0	0
ENST00000431803.2	692	422.702	234.212	41.7686
ENST00000606754.1	748	512.566	5	0.735351
ENST00000624125.1	1853	2401.02	3.30965	0.103911
ENST00000438551.1	273	26.7188	20	56.4269
ENST00000419644.1	480	197.406	0	0
ENST00000427154.1	666	323.31	435	101.425
ENST00000566551.1	5444	3951.59	246.218	4.69702
ENST00000604481.1	400	118.491	0	0
ENST00000458053.4	375	94.4244	8.93276	7.13141
ENST00000454117.1	997	1059.59	10.0645	0.716024
ENST00000335648.3	2547	3025.64	181.905	4.53213
ENST00000518821.1	461	178.46	1.57564	0.665565
ENST00000437367.3	606	423.69	1.52183	0.270765
ENST00000518600.1	376	95.3767	0	0
ENST00000605350.1	650	354.549	206.428	43.8901
ENST00000451217.1	456	173.512	44	19.116
ENST00000427796.5	1074	779.846	533.768	51.5962
ENST00000447961.1	459	176.478	15.2318	6.50631
ENST00000411815.3	210	89.5356	17	14.3129
ENST00000439239.2	454	171.512	13	5.71376
ENST00000429191.1	461	178.46	13.4811	5.69454
ENST00000439059.2	1849	2280.3	40.4392	1.33686
ENST00000437965.1	856	561.248	0	0
ENST00000577528.1	1445	1138.81	337.859	22.3644
ENST00000456316.1	820	724.01	132	13.7437
ENST00000568143.1	2443	2147.82	0	0
ENST00000424084.1	490	207.346	3	1.09069
ENST00000429666.1	614	329.843	0	0
ENST00000455902.2	988	722.284	263.074	27.4565
ENST00000607698.1	485	202.386	16	5.95954
ENST00000412797.1	483	200.386	16	6.01902
ENST00000436991.1	2224	2690.51	18.2384	0.511006
ENST00000442055.5	435	152.655	0	0
ENST00000453649.1	517	234.105	10	3.22006
ENST00000536896.2	2307	3213.75	89.2014	2.09234
ENST00000606617.1	222	94.9306	2	1.58817
ENST00000455431.1	849	776.419	18	1.74763
ENST00000423060.1	529	245.963	24	7.35556
ENST00000569378.1	2000	2163.24	50	1.74237
ENST00000448791.1	306	31.0858	4.42807	10.7381
ENST00000425205.1	379	98.2891	9	6.90258
ENST00000492975.1	428	145.744	20.4607	10.5829
ENST00000443579.1	283	22.8159	18	59.4716
ENST00000440492.1	441	290.087	6	1.55918
ENST00000430683.1	489	206.346	42	15.3436
ENST00000626608.2	376	95.3767	5.82037	4.60026
ENST00000628586.2	639	352.102	0	0
ENST00000625232.2	658	400.083	0	0
ENST00000628584.2	478	195.406	3.39579	1.31002
ENST00000629895.1	610	370.738	181.903	36.9868
ENST00000602607.1	184	74.3436	18	18.2517
ENST00000602843.1	359	78.6894	9	8.62185
ENST00000448015.1	491	208.346	4	1.44727
ENST00000604716.1	1945	1743.45	4486.88	194.004
ENST00000605846.1	425	142.758	0	0
ENST00000413987.1	2201	2193.64	18133.1	623.132
ENST00000447507.1	185	75.0577	819.35	822.902
ENST00000437681.1	2614	2747.09	8555.78	234.78
ENST00000624273.1	2083	2389.03	399.343	12.6008
ENST00000464612.5	719	426.519	0	0
ENST00000475441.5	444	161.561	55.2678	25.7875
ENST00000531126.5	719	539.645	308.753	43.1297
ENST00000461448.5	1629	1759.04	516.965	22.1543
ENST00000470977.5	1098	1055.77	958.806	68.4599
ENST00000474814.1	1903	2230.98	405.495	13.7014
ENST00000481368.5	1588	1552.17	786.663	38.2053
ENST00000481220.5	751	624.187	13.2219	1.59681
ENST00000488745.5	1365	1380.93	142.123	7.7583
ENST00000483436.5	682	486.53	14.6889	2.2759
ENST00000464115.1	712	528.659	0	0
ENST00000461832.1	675	535.206	253.141	35.6546
ENST00000420776.1	624	314.518	33.6068	8.05481
ENST00000427804.1	688	432.208	29.9225	5.2189
ENST00000602813.1	131	87.0871	79	68.3829
ENST00000418471.1	1085	1114.3	99.8261	6.7533
ENST00000413004.1	279	23.5103	1	3.20639
ENST00000427046.1	573	289.57	0	0
